personid,treatment,ordertaker,type,quitjob,age,costofcommute,children,male,married,perform_prior,perform_post,prior_experience,tenure,basewage,bonus,grosswage,ageyoungestchild,rental,bedroom,second_technical,high_school,tertiary_technical,university,internet,phonecalls_prior,phonecalls_post
32320,0,TRUE,1,0,22,4,0,0,0,0.331356555,0.049568646,0,23,1600,2272,4578.473145,0,1,1,0,1,0,0,1,24.603,12.208
32590,1,FALSE,4,0,28,8,0,1,0,-0.599885345,-1.473480344,36,23,1550,827.555542,2673.246582,0,0,1,1,0,0,0,1,0,0
32804,0,TRUE,1,1,23,8,0,1,0,-0.220347404,-0.454427898,0,23,1533.333374,661.444458,2405.562256,0,0,1,0,0,1,0,1,20.624,2.578
33128,0,TRUE,1,0,21,10,0,1,0,-0.251256585,-0.139339432,0,22,1550,1461.111084,3738.581055,0,1,1,0,0,1,0,1,21.26,13.802
33278,0,TRUE,1,0,20,12,0,0,0,-0.31524241,-0.145331532,0,22,1450,594.222229,2275.408936,0,0,1,1,0,0,0,1,18.868,15.354
33350,1,TRUE,1,0,26,10,0,1,0,-0.904521704,-0.801846504,18,22,1533.333374,721.555542,2891.017822,0,0,1,0,0,1,0,1,14.725,8.611
33354,0,TRUE,1,0,21,4,0,0,0,0.37143752,0.080035158,0,22,1450,1007.444458,2702.928955,0,0,1,1,0,0,0,1,21.971,15.712
33366,0,FALSE,3,1,25,0,0,1,0,0.404651999,-0.582222879,24,22,1550,1149.888916,3233.376709,0,0,1,0,0,1,0,1,0,0
34890,0,TRUE,1,1,24,10,0,1,0,-0.588204384,-0.567030489,12,21,1500,523.111084,2244.56665,0,0,1,1,0,0,0,1,17.48,2.503
35006,0,TRUE,1,1,23,0,0,1,1,-0.075300135,-0.362456053,0,21,1500,724.444458,2414.850098,0,0,1,0,0,1,0,1,21.26,5.209
35344,1,TRUE,1,0,22,5,0,0,0,0.436496437,0.814838886,18,20,1550,1028.111084,2872.736572,0,0,1,1,0,0,0,1,23.173,17.681
35408,0,FALSE,3,1,27,10,1,1,1,0.494186401,0.031334266,50,20,1550,1745.111084,3516.338867,1,1,1,0,0,1,0,1,0,0
35822,0,TRUE,1,1,27,6,0,1,0,-0.718438685,-0.884250164,48,20,1500,1364.777832,3590.563232,0,0,1,1,0,0,0,1,16.126,11.034
36032,1,TRUE,1,0,22,8,0,1,0,-0.05893892,0.135028914,12,19,1500,668.111084,2375.729004,0,0,1,1,0,0,0,1,20.681,15.467
36288,0,TRUE,1,0,25,0,0,1,0,0.413139373,-0.140782699,6,19,1500,1113.777832,2848.52002,0,0,1,0,0,1,0,1,22.335,13.267
36306,1,FALSE,2,0,26,6,0,1,0,-0.621526599,-0.067680255,0,19,1500,1088.666626,3234.494385,0,0,1,0,0,1,0,0,0,0
36314,0,TRUE,1,0,23,4,0,1,0,0.514282942,0.628099322,0,19,1500,1032.222168,2728.07666,0,0,1,0,1,0,0,1,24.256,18.522
36494,1,TRUE,1,1,23,6,0,0,0,-0.715160549,-0.584236264,0,18,1500,498.555542,2194.67334,0,0,1,0,0,1,0,1,16.12,2.478
36908,1,TRUE,1,0,23,8,0,1,0,0.365685374,0.393391252,0,15,1500,981.444458,2742.823242,0,0,1,1,0,0,0,1,23.73,14.823
37276,0,TRUE,1,1,22,5,0,0,0,0.003661253,-0.977698028,0,13,1500,1267.777832,3096.648926,0,0,1,0,0,1,0,1,21.861,3.204
37292,0,TRUE,1,0,21,10,0,0,0,0.014250415,-0.199349687,0,13,1450,700.111084,2512.697754,0,1,1,0,1,0,0,1,22.258,15.786
37294,1,TRUE,1,0,20,0,0,0,0,-0.03769717,0.420962125,0,13,1450,512.222229,2242.522217,0,0,1,1,0,0,0,1,20.366,19.367
37296,1,FALSE,3,1,29,3,0,1,0,-0.120114498,-0.586154699,0,13,1483.333374,601.888916,2585.191162,0,1,1,0,0,0,1,1,0,0
37784,1,FALSE,3,0,19,2,0,0,0,0.37780115,0.084233478,0,12,1222.222168,1041.111084,2465.908936,0,0,1,1,0,0,0,1,0,0
